phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,15,14,1858,2,3,0.23866606559481343,1,0.0,0.0005382131324004305
front3,15,1,826,3,0,0.0014840610277275445,9,0.0,0.010895883777239709
front3,15,1,826,3,1,0.5784420093101725,335,0.5880597014925373,0.40556900726392253
front3,15,1,826,3,3,0.4766737342016603,1,1.0,0.0012106537530266344
front3,15,2,826,3,1,0.5395139351385395,39,0.5384615384615384,0.04721549636803874
front3,15,3,826,3,1,0.5800592717314942,1,0.0,0.0012106537530266344
front3,15,3,826,3,2,0.5711660851965091,4,0.75,0.004842615012106538
front3,15,3,826,3,3,0.5701136451304569,23,0.6086956521739131,0.02784503631961259
front3,15,3,826,3,4,0.774506233483578,1,1.0,0.0012106537530266344
front3,15,3,826,3,5,0.8091734073592465,1,1.0,0.0012106537530266344
front3,15,4,826,3,1,0.5577387316368604,14,0.5,0.01694915254237288
front3,15,4,826,3,4,0.6335706461159141,9,0.6666666666666666,0.010895883777239709
front3,15,5,826,3,0,0.0013962044609256146,1,0.0,0.0012106537530266344
front3,15,5,826,3,1,0.5349444787231938,27,0.6296296296296297,0.03268765133171913
front3,15,5,826,3,3,0.49919749660405527,10,0.4,0.012106537530266344
front3,15,6,826,3,0,0.0015214625065058608,2,0.0,0.002421307506053269
front3,15,6,826,3,1,0.5614048958277146,62,0.5967741935483871,0.07506053268765134
front3,15,6,826,3,2,0.5523795820660728,1,1.0,0.0012106537530266344
front3,15,6,826,3,3,0.5568280969470133,19,0.631578947368421,0.023002421307506054
front3,15,7,826,3,1,0.5076571067326603,46,0.6304347826086957,0.05569007263922518
front3,15,7,826,3,3,0.48799057288984293,2,0.5,0.002421307506053269
front3,15,8,826,3,1,0.4014914463652023,1,0.0,0.0012106537530266344
front3,15,8,826,3,3,0.3887425800406474,1,0.0,0.0012106537530266344
front3,15,9,826,3,1,0.47416109114344435,1,0.0,0.0012106537530266344
front3,15,9,826,3,2,0.47884869577734773,7,0.5714285714285714,0.00847457627118644
front3,15,10,826,3,1,0.41629974704620576,1,0.0,0.0012106537530266344
front3,15,10,826,3,2,0.42431592327401463,66,0.3181818181818182,0.07990314769975787
front3,15,10,826,3,3,0.3515771081620918,19,0.3684210526315789,0.023002421307506054
front3,15,11,826,3,2,0.4676585916202781,20,0.65,0.024213075060532687
front3,15,11,826,3,3,0.387400139445296,12,0.5,0.014527845036319613
front3,15,12,826,3,0,0.0013574036168527805,2,0.0,0.002421307506053269
front3,15,12,826,3,2,0.4898432537262053,7,0.42857142857142855,0.00847457627118644
front3,15,12,826,3,3,0.43150752957163635,4,0.25,0.004842615012106538
front3,15,13,826,3,0,0.0012363660654081331,3,0.0,0.0036319612590799033
front3,15,13,826,3,1,0.3615157275025778,13,0.5384615384615384,0.015738498789346248
front3,15,13,826,3,2,0.359072248512448,1,0.0,0.0012106537530266344
front3,15,13,826,3,3,0.3139770382296185,59,0.3898305084745763,0.07142857142857142
front3,15,14,826,3,3,0.24500795157267521,2,0.0,0.002421307506053269
front3,15,1,1456,4,0,0.0013839126942343622,7,0.0,0.004807692307692308
front3,15,1,1456,4,1,0.5420870777222345,489,0.5787321063394683,0.3358516483516483
front3,15,1,1456,4,2,0.46321822619469716,1,0.0,0.0006868131868131869
front3,15,1,1456,4,4,0.7227530505740802,1,1.0,0.0006868131868131869
front3,15,2,1456,4,1,0.5152493660686737,133,0.5037593984962406,0.09134615384615384
front3,15,3,1456,4,1,0.558154742409387,5,0.6,0.003434065934065934
