B1_playerId,A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,1,10,4,receive,1,0.009017420119114883,0.0,0.4157364566458201,0.0,0.4157364566458201,0.4157364566458201
0,1,10,5,receive,1,0.09603214947185096,0.0,0.4270052736339684,0.0,0.4270052736339684,0.4270052736339684
0,1,10,6,receive,1,0.17891586735823645,0.0,0.42230725134308184,0.0,0.42230725134308184,0.42230725134308184
0,1,10,7,receive,1,0.011900249109761807,0.0,0.42767299612996396,0.0,0.42767299612996396,0.42767299612996396
0,1,10,8,receive,1,0.003932564726527736,0.0,0.6479563305756866,0.0,0.6479563305756866,0.6479563305756866
0,1,10,9,receive,1,0.006481843523970382,0.0,0.4083723910727569,0.0,0.4083723910727569,0.4083723910727569
0,1,10,10,receive,1,0.05954592248099157,0.0,0.4900297672983624,0.0,0.4900297672983624,0.4900297672983624
0,1,10,11,receive,1,0.02454034545336755,0.0,0.4900297672983624,0.0,0.4900297672983624,0.4900297672983624
0,1,10,12,receive,1,0.05748783958704646,0.0,0.4799148195025703,0.0,0.4799148195025703,0.4799148195025703
0,1,10,13,receive,1,0.1861326723619235,0.0,0.5042530991827308,0.0,0.5042530991827308,0.5042530991827308
0,1,10,14,receive,1,0.00217425405008337,0.0,0.5659941744058056,0.0,0.5659941744058056,0.5659941744058056
0,1,11,1,receive,1,0.1609755482739573,0.0,0.4002006681247206,0.0,0.4002006681247206,0.4002006681247206
0,1,11,2,receive,1,0.1881139605531033,0.0,0.4052185568477947,0.0,0.4052185568477947,0.4052185568477947
0,1,11,3,receive,1,0.014749362930064708,0.0,0.3939141774433446,0.0,0.3939141774433446,0.3939141774433446
0,1,11,4,receive,1,0.009017420119114883,0.0,0.4166788955042652,0.0,0.4166788955042652,0.4166788955042652
0,1,11,5,receive,1,0.09603214947185096,0.0,0.42795308189332226,0.0,0.42795308189332226,0.42795308189332226
0,1,11,6,receive,1,0.17891586735823645,0.0,0.4232529164309032,0.0,0.4232529164309032,0.4232529164309032
0,1,11,7,receive,1,0.011900249109761807,0.0,0.4286210979495887,0.0,0.4286210979495887,0.4286210979495887
0,1,11,8,receive,1,0.003932564726527736,0.0,0.6488526281997896,0.0,0.6488526281997896,0.6488526281997896
0,1,11,9,receive,1,0.006481843523970382,0.0,0.4093108961714569,0.0,0.4093108961714569,0.4093108961714569
0,1,11,10,receive,1,0.05954592248099157,0.0,0.4909932711362352,0.0,0.4909932711362352,0.4909932711362352
0,1,11,11,receive,1,0.02454034545336755,0.0,0.4909932711362352,0.0,0.4909932711362352,0.4909932711362352
0,1,11,12,receive,1,0.05748783958704646,0.0,0.48087743209735667,0.0,0.48087743209735667,0.48087743209735667
0,1,11,13,receive,1,0.1861326723619235,0.0,0.5110498106197098,0.0,0.5110498106197098,0.5110498106197098
0,1,11,14,receive,1,0.00217425405008337,0.0,0.5726891835036718,0.0,0.5726891835036718,0.5726891835036718
0,1,12,1,receive,1,0.1609755482739573,0.0,0.42039248159500225,0.0,0.42039248159500225,0.42039248159500225
0,1,12,2,receive,1,0.1881139605531033,0.0,0.42546813384733484,0.0,0.42546813384733484,0.42546813384733484
0,1,12,3,receive,1,0.014749362930064708,0.0,0.41402878932211395,0.0,0.41402878932211395,0.41402878932211395
0,1,12,4,receive,1,0.009017420119114883,0.0,0.4370476252905655,0.0,0.4370476252905655,0.4370476252905655
0,1,12,5,receive,1,0.09603214947185096,0.0,0.44842180468328446,0.0,0.44842180468328446,0.44842180468328446
0,1,12,6,receive,1,0.17891586735823645,0.0,0.4436820206961951,0.0,0.4436820206961951,0.4436820206961951
0,1,12,7,receive,1,0.011900249109761807,0.0,0.4490952121320007,0.0,0.4490952121320007,0.4490952121320007
0,1,12,8,receive,1,0.003932564726527736,0.0,0.6692727166992134,0.0,0.6692727166992134,0.6692727166992134
0,1,12,9,receive,1,0.006481843523970382,0.0,0.47910066719045646,0.0,0.47910066719045646,0.47910066719045646
0,1,12,10,receive,1,0.05954592248099157,0.0,0.5445188800703603,0.0,0.5445188800703603,0.5445188800703603
0,1,12,11,receive,1,0.02454034545336755,0.0,0.5445188800703603,0.0,0.5445188800703603,0.5445188800703603
0,1,12,12,receive,1,0.05748783958704646,0.0,0.5278024061847805,0.0,0.5278024061847805,0.5278024061847805
0,1,12,13,receive,1,0.1861326723619235,0.0,0.5578023311696971,0.0,0.5578023311696971,0.5578023311696971
0,1,12,14,receive,1,0.00217425405008337,0.0,0.6124670902995151,0.0,0.6124670902995151,0.6124670902995151
0,1,13,1,receive,1,0.1609755482739573,0.0,0.32651189315793,0.0,0.32651189315793,0.32651189315793
0,1,13,2,receive,1,0.1881139605531033,0.0,0.3245831317451983,0.0,0.3245831317451983,0.3245831317451983
0,1,13,3,receive,1,0.014749362930064708,0.0,0.31437521678510827,0.0,0.31437521678510827,0.31437521678510827
0,1,13,4,receive,1,0.009017420119114883,0.0,0.32430667303555466,0.0,0.32430667303555466,0.32430667303555466
0,1,13,5,receive,1,0.09603214947185096,0.0,0.3038406849038871,0.0,0.3038406849038871,0.3038406849038871
0,1,13,6,receive,1,0.17891586735823645,0.0,0.29303429713679996,0.0,0.29303429713679996,0.29303429713679996
0,1,13,7,receive,1,0.011900249109761807,0.0,0.3170857424888352,0.0,0.3170857424888352,0.3170857424888352
0,1,13,8,receive,1,0.003932564726527736,0.0,0.7042377799720773,0.0,0.7042377799720773,0.7042377799720773
0,1,13,9,receive,1,0.006481843523970382,0.0,0.5184690455312337,0.0,0.5184690455312337,0.5184690455312337
0,1,13,10,receive,1,0.05954592248099157,0.0,0.504416017927803,0.0,0.504416017927803,0.504416017927803
0,1,13,11,receive,1,0.02454034545336755,0.0,0.46640253242856305,0.0,0.46640253242856305,0.46640253242856305
0,1,13,12,receive,1,0.05748783958704646,0.0,0.4497099228735637,0.0,0.4497099228735637,0.4497099228735637
