A1_playerId,A1_actionId,C_actionId,B1_actionId,phase,n_context,p_b_given_a_context_mean,p_b_given_a_context_std,p_win_given_abc_mean,p_win_given_abc_std,p_win_given_abc_min,p_win_given_abc_max
0,1,10,3,receive,3,0.010190925947393204,0.003458525669615003,0.3296710367380489,0.002934746569963778,0.3263116648707268,0.33173634285102893
0,1,10,4,receive,3,0.002808884585411104,0.00019969421343065186,0.3590954447840442,0.0030308417477206036,0.3556260407119502,0.36122817726883744
0,1,10,5,receive,3,0.11544526341882937,0.008079137417625613,0.3350253818144742,0.0029536558429512157,0.3316443587573359,0.3371039592574498
0,1,10,6,receive,3,0.24072524228533557,0.016212895679398813,0.3216113278846763,0.002905072286484766,0.3182859327312403,0.32365580457924925
0,1,10,7,receive,3,0.0037302744468913226,0.00018144875026727204,0.32214194460527595,0.0029070708935849086,0.31881426108598315,0.3241878242909177
0,1,10,8,receive,3,0.0031204163060093073,8.641586418369183e-05,0.33061025235697866,0.0059248982806607,0.3248600756212205,0.3366956398179074
0,1,10,9,receive,3,0.006862855939596064,0.0005806729076219227,0.3233595214397378,0.002911632958489047,0.3200266144372109,0.32540860357210477
0,1,10,10,receive,3,0.015340881224420672,0.0003704217341776509,0.42380160919836324,0.012199420678530689,0.41034367133190697,0.4341345753816894
0,1,10,11,receive,3,0.006338186301024747,0.00021096208131260628,0.4252691565043208,0.016062294390792417,0.40719648910930906,0.4379153823080316
0,1,10,12,receive,3,0.05524512179591092,0.0003255306154370572,0.4039813514230198,0.018693352027380202,0.38279462795468594,0.4181501112506615
0,1,10,13,receive,3,0.23473776754565978,0.011140849995292844,0.4303145912227972,0.0197862526006713,0.40785308499211476,0.44516561302489804
0,1,10,14,receive,3,0.002316456500548618,7.932805128881947e-05,0.48391185020590816,0.003172473563909724,0.48194553878771573,0.48757172089212103
0,1,11,1,receive,3,0.09177555089746699,0.005574347933334154,0.3571761237601656,0.003740272393063037,0.35288168303752887,0.3597208007029225
0,1,11,2,receive,3,0.21136217280550249,0.026599212386192558,0.35515341012867624,0.003732739369610043,0.35086762080033923,0.35769297918862925
0,1,11,3,receive,3,0.010190925947393204,0.003458525669615003,0.3351995036930166,0.0029542600450075574,0.33181778881823104,0.3372785051665207
0,1,11,4,receive,3,0.002808884585411104,0.00019969421343065186,0.3648004680332521,0.0030472837354433807,0.3613122364835297,0.36694473210054834
