phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
receive,10,6,20,12,0.3643117369154195,4,0.5,0.2
receive,10,13,20,12,0.24991165315961822,5,0.2,0.25
receive,11,1,3,12,0.4458726740005927,2,0.5,0.6666666666666666
receive,11,6,3,12,0.3768199527281701,1,0.0,0.3333333333333333
receive,1,2,4,13,0.4861431252217683,1,0.0,0.25
receive,1,5,4,13,0.467677136706406,2,0.5,0.5
receive,1,6,4,13,0.47277626977853454,1,0.0,0.25
receive,4,1,13,13,0.544552810679677,1,1.0,0.07692307692307693
receive,4,2,13,13,0.4875868456705271,1,0.0,0.07692307692307693
receive,4,5,13,13,0.4686006349302353,1,0.0,0.07692307692307693
receive,4,6,13,13,0.4686006349302353,7,0.2857142857142857,0.5384615384615384
receive,4,13,13,13,0.3072846723406132,3,0.3333333333333333,0.23076923076923078
receive,7,1,1,13,0.5389881089289051,1,0.0,1.0
receive,10,2,6,13,0.4999489527878657,2,1.0,0.3333333333333333
receive,10,13,6,13,0.326512200003038,4,0.25,0.6666666666666666
receive,11,1,16,13,0.535174823725391,6,0.8333333333333334,0.375
receive,11,6,16,13,0.46483435711539445,2,0.0,0.125
receive,11,10,16,13,0.40980473759526104,4,0.25,0.25
receive,11,11,16,13,0.41602486792862436,2,0.0,0.125
receive,11,13,16,13,0.2797691968129123,2,0.0,0.125
receive,6,2,11,14,0.5055423898190908,3,0.3333333333333333,0.2727272727272727
receive,6,6,11,14,0.4709433432944177,6,0.3333333333333333,0.5454545454545454
receive,6,13,11,14,0.2884587777919831,2,0.5,0.18181818181818182
receive,7,2,9,14,0.5051497321557574,6,0.16666666666666666,0.6666666666666666
receive,7,13,9,14,0.30085825737225247,3,0.3333333333333333,0.3333333333333333
receive,10,2,11,14,0.5135256807720933,1,0.0,0.09090909090909091
receive,10,6,11,14,0.45444091699259864,1,0.0,0.09090909090909091
receive,10,7,11,14,0.3968484024353898,1,1.0,0.09090909090909091
receive,10,10,11,14,0.39741065430550787,3,0.3333333333333333,0.2727272727272727
receive,10,13,11,14,0.3278496280192445,5,0.2,0.45454545454545453
receive,11,10,1,14,0.3946396019394629,1,0.0,1.0
receive,1,1,2,15,0.6091205057871341,1,1.0,0.5
receive,1,11,2,15,0.48661321268960145,1,1.0,0.5
receive,4,3,3,15,0.616411932850576,2,1.0,0.6666666666666666
receive,4,6,3,15,0.5829147740732471,1,1.0,0.3333333333333333
receive,6,1,3,15,0.4064176962052277,2,1.0,0.6666666666666666
receive,6,6,3,15,0.3544232509972489,1,0.0,0.3333333333333333
receive,10,3,4,15,0.5879678255844467,1,1.0,0.25
receive,10,6,4,15,0.5353002135564952,2,0.5,0.5
receive,10,13,4,15,0.4129136596053445,1,1.0,0.25
receive,11,1,2,15,0.6073267177115338,1,1.0,0.5
receive,11,13,2,15,0.35212084992311043,1,1.0,0.5
receive,12,1,1,15,0.5663817729459757,1,0.0,1.0
receive,4,2,2,16,0.5961149833227952,1,1.0,0.5
receive,4,6,2,16,0.5723723473515983,1,1.0,0.5
receive,7,5,1,16,0.5499653568267271,1,1.0,1.0
receive,10,2,3,16,0.5982279190814498,1,0.0,0.3333333333333333
receive,10,13,3,16,0.4326677579264495,2,0.0,0.6666666666666666
receive,11,1,12,16,0.5889302682656691,4,1.0,0.3333333333333333
receive,11,5,12,16,0.514827931006617,1,0.0,0.08333333333333333
receive,11,10,12,16,0.46571641704602146,1,0.0,0.08333333333333333
receive,11,11,12,16,0.4717331889446496,3,0.6666666666666666,0.25
receive,11,13,12,16,0.3051555787505642,3,0.6666666666666666,0.25
receive,1,1,2,17,0.4782941154297834,1,0.0,0.5
receive,1,2,2,17,0.41859054481115265,1,1.0,0.5
receive,6,2,5,17,0.4425831114772952,4,0.5,0.8
receive,6,13,5,17,0.23644025071267466,1,0.0,0.2
