A1_actionId,C_actionId,EV,count,usage_rate
11,14,0.12527159622489872,7,0.003663003663003663
12,1,0.46695580595069236,65,0.05632582322357019
12,2,0.4467770168661347,81,0.07019064124783363
12,3,0.5243205633221577,69,0.05979202772963605
12,5,0.4263782850906072,85,0.07365684575389948
12,6,0.4926867422779545,30,0.025996533795493933
12,8,0.3611507998077216,2,0.0017331022530329288
12,9,0.4371194975892742,15,0.012998266897746967
12,10,0.4290979495098369,83,0.07192374350086655
12,12,0.48435163263034653,554,0.4800693240901213
12,13,0.23685735271504166,129,0.11178509532062392
12,14,0.24551519623000168,41,0.03552859618717504
13,1,0.47576452224718335,220,0.09914375844975214
13,2,0.4735379143231872,512,0.23073456511942317
13,3,0.5909291785711678,44,0.01982875168995043
13,5,0.46616859964388485,204,0.09193330328977016
13,6,0.523718587807642,294,0.13249211356466878
13,8,0.3253658706724341,2,0.0009013068949977468
13,10,0.33063103092524787,14,0.006309148264984227
13,12,0.42932557267080523,28,0.012618296529968454
13,13,0.1997092792758916,853,0.38440739071653895
13,14,0.21559585158237649,48,0.021631365479945923
14,1,0.4053037627457539,7,0.041176470588235294
14,2,0.3802359030164207,43,0.2529411764705882
14,3,0.4844827596341972,3,0.01764705882352941
14,5,0.3713095792249052,4,0.023529411764705882
14,12,0.33154214263238135,10,0.058823529411764705
14,13,0.18447028961518563,12,0.07058823529411765
14,14,0.18342519703831942,91,0.5352941176470588
15,1,0.9068204366139709,928,0.4520214320506576
15,2,0.9120497108992417,190,0.09254749147588895
15,3,0.9548567463813259,49,0.023867510959571358
15,4,0.9384775438214228,60,0.029225523623964928
15,5,0.9219862505418011,113,0.05504140282513395
15,6,0.9312558537166722,211,0.10277642474427667
15,7,0.9054260093827116,64,0.031173891865562593
15,8,0.8875656227207775,10,0.004870920603994155
15,9,0.914228035978311,11,0.00535801266439357
15,10,0.7754293392418032,201,0.09790550414028251
15,11,0.8156842078835389,95,0.046273745737944474
15,12,0.868662732698415,39,0.018996590355577204
15,13,0.6553185112848587,82,0.03994154895275207
16,1,0.8937903877293794,186,0.46851385390428213
16,2,0.8940089832346053,35,0.08816120906801007
16,3,0.9362172940217655,27,0.06801007556675064
16,4,0.9291894972749565,5,0.012594458438287154
16,5,0.9373725006710543,28,0.07052896725440806
16,6,0.953158491515418,49,0.12342569269521411
16,10,0.8052609171416879,39,0.0982367758186398
16,13,0.7823934362388881,28,0.07052896725440806
17,1,0.9096572247862775,63,0.6176470588235294
17,2,0.8921476021334932,11,0.10784313725490197
17,4,0.9125363348628301,3,0.029411764705882353
17,5,0.9289502966828505,6,0.058823529411764705
17,6,0.9505395404948956,15,0.14705882352941177
17,11,0.877261863544966,4,0.0392156862745098
18,1,0.9163723050769006,11,0.22916666666666666
18,2,0.9052772620643118,4,0.08333333333333333
18,5,0.9204122388239319,4,0.08333333333333333
18,6,0.9420517267258374,6,0.125
18,8,0.9141050694867545,3,0.0625
18,9,0.9293654453661786,2,0.041666666666666664
18,10,0.8500254497427532,15,0.3125
18,13,0.8325810647268598,3,0.0625
