phase,A1_actionId,C_actionId,n_context,B1_playerId,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
late,11,13,5,11,2,3,0.3777459838648513,3,0.3333333333333333,0.6
late,11,1,5,11,3,1,0.6485298243748092,3,0.6666666666666666,0.6
late,11,13,5,11,3,3,0.2827930649390694,2,0.0,0.4
late,13,1,15,11,3,1,0.4856590689436147,3,0.3333333333333333,0.2
late,13,2,15,11,3,1,0.46101274721769553,1,0.0,0.06666666666666667
late,13,5,15,11,3,1,0.4508192182582778,1,0.0,0.06666666666666667
late,13,13,15,11,3,0,0.011246196675863905,2,0.0,0.13333333333333333
late,13,13,15,11,3,3,0.206339356138041,7,0.0,0.4666666666666667
late,13,14,15,11,3,1,0.15376395459450007,1,0.0,0.06666666666666667
late,14,13,1,11,1,3,0.23293590406196027,1,0.0,1.0
late,14,2,2,11,3,1,0.44249607382889644,1,0.0,0.5
late,14,14,2,11,3,3,0.179465469010682,1,0.0,0.5
late,1,1,5,12,1,1,0.502704227336988,1,0.0,0.2
late,1,5,5,12,1,1,0.468293080982863,1,0.0,0.2
late,1,6,5,12,1,3,0.4841210565082873,3,0.6666666666666666,0.6
late,2,6,1,12,1,3,0.4258906773489422,1,1.0,1.0
late,3,3,5,12,3,3,0.5825720737515045,3,1.0,0.6
late,3,13,5,12,3,3,0.20143571946747266,2,0.0,0.4
late,5,1,7,12,1,0,0.00772255111677895,1,0.0,0.14285714285714285
late,5,3,7,12,1,3,0.49178514285629166,1,0.0,0.14285714285714285
late,5,5,7,12,1,1,0.42965883954533257,4,0.0,0.5714285714285714
late,5,13,7,12,1,3,0.21786310377882884,1,0.0,0.14285714285714285
late,6,3,4,12,3,3,0.5028965197515791,1,1.0,0.25
late,6,5,4,12,3,1,0.4205486150541874,1,0.0,0.25
late,6,6,4,12,3,3,0.44439944953800464,2,0.0,0.5
late,10,1,9,12,2,1,0.5686613359224846,3,0.3333333333333333,0.3333333333333333
late,10,1,9,12,2,4,0.582225837532986,1,1.0,0.1111111111111111
late,10,3,9,12,2,3,0.5691798688558158,2,0.5,0.2222222222222222
late,10,6,9,12,2,3,0.5463380371031241,2,1.0,0.2222222222222222
late,10,13,9,12,2,3,0.32909297007182536,1,1.0,0.1111111111111111
late,11,1,1,12,2,1,0.6632082241289885,1,0.0,1.0
late,12,5,1,12,2,1,0.41587041760156485,1,0.0,1.0
late,14,14,1,12,1,3,0.1674786068915567,1,0.0,1.0
late,1,1,21,13,1,1,0.6035894227154873,12,0.6666666666666666,0.5714285714285714
late,1,2,21,13,1,1,0.5776356798924994,1,1.0,0.047619047619047616
late,1,5,21,13,1,1,0.568997301832072,3,0.3333333333333333,0.14285714285714285
late,1,6,21,13,1,3,0.5811740719768221,2,0.5,0.09523809523809523
late,1,13,21,13,1,3,0.33298579689135693,3,0.6666666666666666,0.14285714285714285
late,2,1,8,13,1,1,0.5710953057567556,4,0.75,0.5
late,2,2,8,13,1,1,0.5461817096238126,2,0.5,0.25
late,2,5,8,13,1,1,0.5256264959431171,1,0.0,0.125
late,2,13,8,13,1,3,0.3043382903685951,1,0.0,0.125
late,4,1,5,13,1,1,0.7263427369298967,1,1.0,0.2
late,4,6,5,13,1,3,0.6944416845695035,2,1.0,0.4
late,4,13,5,13,1,3,0.45811722752657,2,0.5,0.4
late,6,2,8,13,3,1,0.5437204452410387,3,0.3333333333333333,0.375
late,6,6,8,13,3,3,0.5456100448027147,3,1.0,0.375
late,6,13,8,13,3,3,0.2801788935914457,2,0.0,0.25
late,7,1,2,13,1,1,0.6875128869814426,1,1.0,0.5
late,7,2,2,13,1,1,0.6659958448264534,1,1.0,0.5
late,10,2,4,13,2,1,0.6269098168775525,1,1.0,0.25
late,10,6,4,13,2,3,0.6387509707819427,2,0.0,0.5
late,10,12,4,13,2,3,0.5747586731696668,1,0.0,0.25
late,10,2,3,13,3,1,0.6212715652709795,1,0.0,0.3333333333333333
late,10,13,3,13,3,3,0.3167491892695685,2,0.0,0.6666666666666666
late,11,1,4,13,2,1,0.6985466961974032,2,0.5,0.5
late,11,5,4,13,2,1,0.6753838243618118,1,0.0,0.25
late,11,11,4,13,2,2,0.6206263909033751,1,0.0,0.25
late,11,1,1,13,3,1,0.7061823401211533,1,1.0,1.0
late,13,2,4,13,3,1,0.5036897035973351,1,1.0,0.25
late,13,5,4,13,3,1,0.49580219659202307,1,0.0,0.25
late,13,6,4,13,3,3,0.5180204481753146,2,0.5,0.5
late,1,2,1,14,1,1,0.572340225994388,1,1.0,1.0
late,2,2,15,14,1,1,0.5221722937093304,6,0.3333333333333333,0.4
late,2,6,15,14,1,3,0.5211500516481425,2,0.0,0.13333333333333333
late,2,13,15,14,1,3,0.2846653052369135,7,0.0,0.4666666666666667
late,5,2,2,14,1,1,0.5320794121828918,1,1.0,0.5
late,5,6,2,14,1,3,0.5409612831705504,1,1.0,0.5
late,6,2,17,14,3,1,0.5295622777300041,6,0.5,0.35294117647058826
late,6,3,17,14,3,3,0.577439833151493,1,1.0,0.058823529411764705
late,6,6,17,14,3,3,0.532346925411467,5,1.0,0.29411764705882354
late,6,13,17,14,3,3,0.26744035496478646,5,0.2,0.29411764705882354
late,7,13,1,14,3,3,0.378972188140393,1,1.0,1.0
late,10,2,6,14,2,1,0.6252316748184925,1,1.0,0.16666666666666666
late,10,5,6,14,2,1,0.6234025770859968,1,1.0,0.16666666666666666
late,10,6,6,14,2,3,0.6363315877871131,1,1.0,0.16666666666666666
late,10,10,6,14,2,2,0.5716428247854543,1,0.0,0.16666666666666666
late,10,13,6,14,2,3,0.4329861672225519,2,0.0,0.3333333333333333
late,13,2,6,14,3,1,0.4961018204107423,4,0.25,0.6666666666666666
late,13,13,6,14,3,3,0.2741124792955123,2,0.5,0.3333333333333333
late,1,3,5,15,1,3,0.6978634995405597,3,0.6666666666666666,0.6
late,1,6,5,15,1,3,0.6239912945741408,1,0.0,0.2
late,1,11,5,15,1,2,0.5544311760317849,1,1.0,0.2
late,3,1,5,15,3,1,0.6218105927660229,1,0.0,0.2
late,3,3,5,15,3,3,0.7210193148021291,3,1.0,0.6
late,3,12,5,15,3,2,0.5404782647931067,1,0.0,0.2
late,4,3,2,15,4,3,0.8530384358383956,1,1.0,0.5
late,4,6,2,15,4,3,0.8350026822476841,1,1.0,0.5
late,5,6,1,15,1,3,0.6048693332714499,1,1.0,1.0
late,6,6,1,15,3,3,0.5955450072123647,1,0.0,1.0
late,11,1,4,15,2,1,0.7591906689730663,1,1.0,0.25
late,11,10,4,15,2,2,0.6823016211000988,1,1.0,0.25
late,11,13,4,15,2,3,0.4845809240858338,1,1.0,0.25
late,11,14,4,15,2,1,0.34697455405184774,1,0.0,0.25
late,13,3,2,15,3,3,0.6320559079958574,1,1.0,0.5
late,13,13,2,15,3,3,0.30229158324180816,1,0.0,0.5
late,14,2,1,15,1,1,0.5414555644062464,1,1.0,1.0
late,14,14,1,15,3,3,0.31571956484075114,1,1.0,1.0
late,1,1,9,16,1,1,0.6674516396151273,1,1.0,0.1111111111111111
late,1,2,9,16,1,1,0.6384547678636394,1,1.0,0.1111111111111111
late,1,3,9,16,1,2,0.6828681650470888,1,1.0,0.1111111111111111
late,1,5,9,16,1,1,0.6389194509917773,1,0.0,0.1111111111111111
late,1,6,9,16,1,3,0.6509787320433242,4,1.0,0.4444444444444444
late,1,13,9,16,1,3,0.4206862684378778,1,0.0,0.1111111111111111
late,2,1,2,16,1,1,0.6203365655409209,1,1.0,0.5
late,2,2,2,16,1,1,0.5959996816300495,1,0.0,0.5
late,4,2,1,16,4,1,0.8403758498950139,1,1.0,1.0
late,5,2,3,16,1,1,0.6274991640586507,1,0.0,0.3333333333333333
late,5,3,3,16,1,2,0.7162496710772475,1,1.0,0.3333333333333333
late,5,5,3,16,1,1,0.6065974462107521,1,1.0,0.3333333333333333
late,6,2,5,16,3,1,0.6099825334176154,3,0.6666666666666666,0.6
late,6,6,5,16,3,3,0.6110163859188723,2,1.0,0.4
late,10,13,1,16,2,0,0.02620816712804215,1,0.0,1.0
late,11,1,3,16,2,1,0.7696238916384726,3,0.3333333333333333,1.0
late,11,1,1,16,3,1,0.7628888085997302,1,1.0,1.0
late,13,2,5,16,3,0,0.023748324025152878,1,0.0,0.2
late,13,2,5,16,3,1,0.5719192578928137,1,0.0,0.2
late,13,6,5,16,3,3,0.580370141027839,3,0.3333333333333333,0.6
late,1,1,4,17,1,1,0.5486133956819025,1,0.0,0.25
late,1,2,4,17,1,1,0.5182530257747837,1,1.0,0.25
late,1,5,4,17,1,1,0.5184943785424003,1,0.0,0.25
late,1,6,4,17,1,3,0.5312938025719983,1,1.0,0.25
late,2,1,5,17,1,1,0.5104047248783232,3,0.3333333333333333,0.6
late,2,2,5,17,1,1,0.47684156609681966,2,0.5,0.4
late,6,2,3,17,3,1,0.4842335945034207,2,0.5,0.6666666666666666
late,6,13,3,17,3,3,0.23745247016174006,1,0.0,0.3333333333333333
late,7,2,1,17,1,1,0.6172822388999711,1,1.0,1.0
late,10,13,1,17,3,3,0.32023623866703205,1,0.0,1.0
late,13,13,1,17,3,3,0.24613999520949978,1,0.0,1.0
late,1,1,7,18,1,1,0.6985619581269219,1,0.0,0.14285714285714285
late,1,2,7,18,1,1,0.6737601542481285,6,1.0,0.8571428571428571
late,2,1,5,18,1,1,0.6561837268326899,2,0.5,0.4
late,2,2,5,18,1,1,0.623109802064669,3,0.6666666666666666,0.6
late,7,13,1,18,1,3,0.576633496076279,1,1.0,1.0
late,10,13,1,18,2,3,0.5456041553375258,1,0.0,1.0
late,13,2,2,18,3,1,0.6154377320103276,2,1.0,1.0
late,1,1,24,19,1,1,0.5247834573333342,9,0.7777777777777778,0.375
