A1_actionId,C_actionId,A1_playerId,use_count,win_rate,usage_share
15,4,69,1,1.0,0.0048543689320388345
15,4,70,4,0.75,0.019417475728155338
15,4,72,23,0.43478260869565216,0.11165048543689321
15,4,79,1,1.0,0.0048543689320388345
15,4,86,4,0.5,0.019417475728155338
15,4,90,1,0.0,0.0048543689320388345
15,4,92,2,0.5,0.009708737864077669
15,4,96,74,0.6486486486486487,0.3592233009708738
15,4,98,1,1.0,0.0048543689320388345
15,4,101,6,0.6666666666666666,0.02912621359223301
15,4,103,1,0.0,0.0048543689320388345
15,4,111,3,1.0,0.014563106796116505
15,4,112,2,1.0,0.009708737864077669
15,4,115,2,1.0,0.009708737864077669
15,4,122,13,0.46153846153846156,0.06310679611650485
15,4,126,1,0.0,0.0048543689320388345
15,4,128,1,0.0,0.0048543689320388345
15,4,129,6,0.6666666666666666,0.02912621359223301
15,4,130,1,1.0,0.0048543689320388345
15,4,132,3,0.3333333333333333,0.014563106796116505
15,4,136,4,0.25,0.019417475728155338
15,4,137,4,0.5,0.019417475728155338
15,4,138,1,0.0,0.0048543689320388345
15,4,140,3,0.3333333333333333,0.014563106796116505
15,4,144,2,0.5,0.009708737864077669
15,4,150,1,1.0,0.0048543689320388345
15,4,153,6,0.6666666666666666,0.02912621359223301
15,4,159,1,0.0,0.0048543689320388345
15,4,161,1,1.0,0.0048543689320388345
15,4,162,4,0.25,0.019417475728155338
15,4,163,6,0.5,0.02912621359223301
15,5,2,3,0.3333333333333333,0.0055658627087198514
15,5,3,3,0.3333333333333333,0.0055658627087198514
15,5,6,3,0.0,0.0055658627087198514
15,5,8,2,0.5,0.0037105751391465678
15,5,9,2,0.5,0.0037105751391465678
15,5,10,1,1.0,0.0018552875695732839
15,5,12,4,0.5,0.0074211502782931356
15,5,13,3,0.3333333333333333,0.0055658627087198514
15,5,15,1,0.0,0.0018552875695732839
15,5,20,4,0.25,0.0074211502782931356
15,5,21,1,0.0,0.0018552875695732839
15,5,23,1,0.0,0.0018552875695732839
15,5,31,1,0.0,0.0018552875695732839
15,5,33,6,0.3333333333333333,0.011131725417439703
15,5,34,6,0.5,0.011131725417439703
15,5,37,14,0.2857142857142857,0.025974025974025976
15,5,38,10,0.5,0.01855287569573284
15,5,40,1,0.0,0.0018552875695732839
15,5,41,3,0.6666666666666666,0.0055658627087198514
15,5,42,1,0.0,0.0018552875695732839
15,5,47,1,1.0,0.0018552875695732839
15,5,50,2,0.0,0.0037105751391465678
15,5,52,2,0.0,0.0037105751391465678
15,5,53,4,0.5,0.0074211502782931356
15,5,54,6,0.16666666666666666,0.011131725417439703
15,5,57,5,0.6,0.00927643784786642
15,5,61,4,0.0,0.0074211502782931356
15,5,62,7,0.14285714285714285,0.012987012987012988
15,5,64,22,0.45454545454545453,0.04081632653061224
15,5,69,3,0.3333333333333333,0.0055658627087198514
15,5,70,20,0.3,0.03710575139146568
15,5,71,1,1.0,0.0018552875695732839
