phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,1,7,15,3,0.5878356682446021,1,1.0,0.06666666666666667
late,1,13,15,3,0.3761802228952137,3,0.0,0.2
late,2,1,10,3,0.6335279647611471,2,0.5,0.2
late,2,2,10,3,0.606835658091824,4,0.25,0.4
late,2,3,10,3,0.6218988460869099,1,1.0,0.1
late,2,6,10,3,0.5821485983207946,2,0.5,0.2
late,2,13,10,3,0.33339039449008473,1,0.0,0.1
late,3,3,2,3,0.7044669463204448,1,1.0,0.5
late,3,6,2,3,0.6052732618971224,1,0.0,0.5
late,5,1,8,3,0.6635293762129608,1,1.0,0.125
late,5,2,8,3,0.6451835819539868,1,1.0,0.125
late,5,3,8,3,0.669340697330085,1,1.0,0.125
late,5,5,8,3,0.6059377850650038,1,1.0,0.125
late,5,6,8,3,0.6029618371089369,2,1.0,0.25
late,5,13,8,3,0.3212528275222518,2,1.0,0.25
late,6,1,46,3,0.6483861687462769,3,0.6666666666666666,0.06521739130434782
late,6,2,46,3,0.6201956903690096,8,0.5,0.17391304347826086
late,6,3,46,3,0.6238159365964477,7,0.14285714285714285,0.15217391304347827
late,6,5,46,3,0.5959973990084301,6,0.6666666666666666,0.13043478260869565
late,6,6,46,3,0.5957028608977224,11,0.6363636363636364,0.2391304347826087
late,6,7,46,3,0.5478828280776338,1,1.0,0.021739130434782608
late,6,9,46,3,0.550340379550987,1,1.0,0.021739130434782608
late,6,13,46,3,0.3157052546517858,9,0.2222222222222222,0.1956521739130435
late,7,1,19,3,0.7528425929232676,3,0.6666666666666666,0.15789473684210525
late,7,2,19,3,0.730386708053654,3,0.6666666666666666,0.15789473684210525
late,7,3,19,3,0.7329387528935375,1,0.0,0.05263157894736842
late,7,5,19,3,0.7174569777687931,1,1.0,0.05263157894736842
late,7,6,19,3,0.7174569777687931,6,0.6666666666666666,0.3157894736842105
late,7,13,19,3,0.4602855622416427,5,0.4,0.2631578947368421
late,9,5,3,3,0.6821623500405577,1,1.0,0.3333333333333333
late,9,10,3,3,0.6152302613577588,1,1.0,0.3333333333333333
late,9,13,3,3,0.4909102209116509,1,0.0,0.3333333333333333
late,10,1,24,3,0.7282691720948411,2,1.0,0.08333333333333333
late,10,2,24,3,0.7073160648381417,2,0.5,0.08333333333333333
late,10,5,24,3,0.6864394347108567,3,0.6666666666666666,0.125
late,10,6,24,3,0.6864394347108567,2,1.0,0.08333333333333333
late,10,7,24,3,0.6457188748796355,2,1.0,0.08333333333333333
late,10,13,24,3,0.48280468857223785,13,0.6923076923076923,0.5416666666666666
late,11,1,5,3,0.7524891226947705,3,0.6666666666666666,0.6
late,11,2,5,3,0.725273419057179,1,1.0,0.2
late,11,10,5,3,0.6698360486262285,1,1.0,0.2
late,13,1,16,3,0.6079992710255773,1,1.0,0.0625
late,13,2,16,3,0.590425753250046,5,0.4,0.3125
late,13,5,16,3,0.5672027931591301,1,0.0,0.0625
late,13,6,16,3,0.5672027931591301,5,0.8,0.3125
late,13,13,16,3,0.31286130467602324,4,0.0,0.25
late,14,14,1,3,0.3076069339936319,1,1.0,1.0
late,1,1,2,4,0.7464146087618054,1,1.0,0.5
late,1,3,2,4,0.756317599340661,1,1.0,0.5
late,3,3,1,4,0.7666769338332459,1,1.0,1.0
late,8,12,2,4,0.6351480427126144,2,1.0,1.0
late,10,12,1,4,0.7011336063372193,1,0.0,1.0
late,12,1,17,4,0.6469736530141317,4,0.75,0.23529411764705882
late,12,2,17,4,0.6289601227037599,3,0.6666666666666666,0.17647058823529413
late,12,12,17,4,0.5818834840065248,5,0.8,0.29411764705882354
late,12,13,17,4,0.376219196980237,4,0.5,0.23529411764705882
late,12,14,17,4,0.3281336167128754,1,0.0,0.058823529411764705
late,14,14,1,4,0.02931097184520617,1,0.0,1.0
late,1,1,15,5,0.6771928994948586,10,0.7,0.6666666666666666
late,1,3,15,5,0.6658189195179685,1,1.0,0.06666666666666667
late,1,6,15,5,0.6375196552488974,1,0.0,0.06666666666666667
late,1,10,15,5,0.5770118171829915,2,0.5,0.13333333333333333
late,1,12,15,5,0.5867091383792516,1,1.0,0.06666666666666667
late,5,1,3,5,0.647103589179331,3,1.0,1.0
late,6,1,4,5,0.6395561332671127,4,0.75,1.0
late,10,5,1,5,0.6913548431491613,1,0.0,1.0
late,13,13,1,5,0.27652087129884706,1,0.0,1.0
late,1,1,6,6,0.6406269486829598,2,0.5,0.3333333333333333
late,1,5,6,6,0.591792436350114,2,1.0,0.3333333333333333
late,1,13,6,6,0.3275106586091531,1,0.0,0.16666666666666666
late,1,14,6,6,0.29426551193392436,1,1.0,0.16666666666666666
late,2,5,1,6,0.5468789508558329,1,1.0,1.0
late,5,1,3,6,0.41083607278966444,1,1.0,0.3333333333333333
late,5,5,3,6,0.3751731809871717,1,1.0,0.3333333333333333
late,5,13,3,6,0.18736599933627,1,0.0,0.3333333333333333
late,7,13,1,6,0.4479971650863437,1,1.0,1.0
late,10,6,2,6,0.6946838331569904,1,1.0,0.5
late,10,13,2,6,0.5074644493882157,1,1.0,0.5
late,12,14,1,6,0.31204006101575443,1,0.0,1.0
late,13,13,1,6,0.32133736558444076,1,0.0,1.0
late,14,14,6,6,0.26465696687243284,6,0.0,1.0
late,1,1,7,7,0.6752532207288733,3,0.6666666666666666,0.42857142857142855
late,1,2,7,7,0.6547168226740541,3,1.0,0.42857142857142855
late,1,13,7,7,0.37407118948334706,1,1.0,0.14285714285714285
