phase,A1_actionId,C_actionId,EV,A1_playerId,count,train_winrate,usage_rate
late,5,1,0.539252466450124,136,24,0.375,0.2696629213483146
late,1,2,0.545303265187448,129,24,0.375,0.2727272727272727
late,12,12,0.43063816379424374,156,23,0.391304347826087,0.4423076923076923
late,12,12,0.550346645785601,82,23,0.6521739130434783,0.23
late,6,1,0.4985096963912651,128,23,0.391304347826087,0.3333333333333333
late,4,1,0.5528275355847465,101,23,0.6521739130434783,0.575
late,1,5,0.5311677921000679,101,22,0.5909090909090909,0.1896551724137931
late,10,2,0.49756977825065557,128,22,0.4090909090909091,0.1896551724137931
late,12,12,0.4077470273830718,78,22,0.45454545454545453,0.4489795918367347
late,2,2,0.557354805738147,148,22,0.9090909090909091,0.88
late,12,12,0.4725668915959707,37,22,0.45454545454545453,0.3384615384615385
late,10,13,0.2833415613259854,101,22,0.18181818181818182,0.38596491228070173
late,1,13,0.2929303335275226,21,22,0.22727272727272727,0.22
late,1,5,0.496880105230454,96,22,0.3181818181818182,0.06528189910979229
late,10,13,0.19896265649970946,115,21,0.23809523809523808,0.44680851063829785
late,12,10,0.5314461796013712,82,21,0.6666666666666666,0.21
late,13,6,0.4238406210256017,72,21,0.47619047619047616,0.2625
late,1,3,0.5944984047910805,21,21,0.5714285714285714,0.21
late,1,1,0.49063942013929635,73,21,0.5714285714285714,0.5384615384615384
late,6,6,0.5453796041981142,144,21,0.5238095238095238,0.38181818181818183
late,11,1,0.5710118698911479,64,21,0.6190476190476191,0.5833333333333334
late,10,13,0.26672912444947816,144,21,0.2857142857142857,0.3888888888888889
late,6,2,0.49662642533554696,133,21,0.42857142857142855,0.42857142857142855
late,11,2,0.5274606147624247,129,21,0.38095238095238093,0.23333333333333334
late,6,6,0.4829222595476538,128,21,0.5714285714285714,0.30434782608695654
late,6,5,0.536117612704393,64,21,0.6666666666666666,0.18421052631578946
late,13,13,0.28394771722025014,64,21,0.3333333333333333,0.40384615384615385
late,1,3,0.6348107816658629,64,21,0.8095238095238095,0.1693548387096774
late,4,1,0.5163473483733922,96,20,0.45,0.10309278350515463
